email_text,label
"Hello, your account has been compromised. Click here to reset your password.",1
"Dear customer, your package is arriving soon. Track it here.",0
"Congratulations! You won a prize. Click the link to claim.",1
"Meeting at 3 PM. Let me know if you can join.",0
"We have detected unusual activity on your bank account. Please verify your identity.",1
"Your Netflix subscription has expired. Click here to renew.",1
"Hey! How have you been? Long time no see.",0
"Reminder: Your doctor’s appointment is tomorrow at 10 AM.",0
"Urgent: Your credit card is blocked. Click here to fix it.",1
"You have 5 unread messages. View them now!",1
"Good morning! Have a great day ahead.",0
"Security alert: Suspicious login attempt detected. Reset your password now!",1
